pathway	description	X18S_1_10_S10_L001	X18S_1_11_S11_L001	X18S_1_12_S12_L001	X18S_1_13_S13_L001	X18S_1_14_S14_L001	X18S_1_15_S15_L001	X18S_1_16_S16_L001	X18S_1_17_S17_L001	X18S_1_18_S18_L001	X18S_1_19_S19_L001	X18S_1_1_S1_L001	X18S_1_20_S20_L001	X18S_1_21_S21_L001	X18S_1_22_S22_L001	X18S_1_23_S23_L001	X18S_1_24_S24_L001	X18S_1_25_S25_L001	X18S_1_26_S26_L001	X18S_1_27_S27_L001	X18S_1_28_S28_L001	X18S_1_29_S29_L001	X18S_1_2_S2_L001	X18S_1_30_S30_L001	X18S_1_31_S31_L001	X18S_1_32_S32_L001	X18S_1_33_S33_L001	X18S_1_34_S34_L001	X18S_1_35_S35_L001	X18S_1_36_S36_L001	X18S_1_37_S37_L001	X18S_1_38_S38_L001	X18S_1_39_S39_L001	X18S_1_3_S3_L001	X18S_1_40_S40_L001	X18S_1_41_S41_L001	X18S_1_42_S42_L001	X18S_1_43_S43_L001	X18S_1_44_S44_L001	X18S_1_45_S45_L001	X18S_1_46_S46_L001	X18S_1_47_S47_L001	X18S_1_48_S48_L001	X18S_1_49_S49_L001	X18S_1_4_S4_L001	X18S_1_50_S50_L001	X18S_1_51_S51_L001	X18S_1_52_S52_L001	X18S_1_53_S53_L001	X18S_1_54_S54_L001	X18S_1_55_S55_L001	X18S_1_56_S56_L001	X18S_1_57_S57_L001	X18S_1_58_S58_L001	X18S_1_59_S59_L001	X18S_1_5_S5_L001	X18S_1_6_S6_L001	X18S_1_7_S7_L001	X18S_1_8_S8_L001	X18S_1_9_S9_L001
HCAMHPDEG-PWY	3-phenylpropanoate and 3-(3-hydroxyphenyl)propanoate degradation to 2-oxopent-4-enoate	0	0	0	0	0	0	0	0	0	0	0	3.9273	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HEME-BIOSYNTHESIS-II	heme biosynthesis I (aerobic)	13092.486	43298	12327.5	52501	46386	12016.9194	22156	23605	16457	20156	9764.2998	53043.9162	87317	28121	24800	29017.5	12591.1743	27679	21110	61332	31842.4943	6511	31609.9619	64741	13884	26745.4964	11020.5	17526.4365	18371	54180	34429	71012	26339	11177.9094	12787	19490.626	4476	139566	22410.5	114676	13958	132320	10462	43058	30753	13620.7287	7921	7581	13714.5	32580	60150.7729	7858.0245	9519.6546	3981.7387	9937.4846	16546.4988	32612	34215.5	14137.4998
HEMESYN2-PWY	heme biosynthesis II (anaerobic)	13837	43298	12328	52501	46386	12757	22156	23605	16457	20156	10318	53205.5	87317	28121	24800	29018	12913	27679	21110	61332	31856	6511	31832	64741	13884	26979	11021	18798	18371	54180	34429	71012	26339	11456	12787	19962	4476	139566	22411	114676	13958	132320	10462	43058	30753	13724	7921	7581	13715	32580	60628	8071	9852	4588	10379	16551	32613	34216	14139
HEXITOLDEGSUPER-PWY	superpathway of hexitol degradation (bacteria)	0	0	0	0	0	0	0	0	0	0	0	17.2761	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HISTSYN-PWY	L-histidine biosynthesis	15234.9507	47855.6842	13625.6454	58027.4211	51268.7368	14041.5498	24488.2105	26089.7368	18189.3158	22277.6842	11360.5438	58792.3299	96508.2632	31081.1053	27410.5263	32072.4875	14247.1368	30592.5789	23332.1053	67788	35208.2155	7196.3684	35165.4834	71555.8421	15345.4737	29800.7423	12181.0665	20676.324	20304.7895	59883.1579	38053.1053	78486.9474	29111.5263	12640.1867	14133	22026.4737	4947.1579	154257.1579	24770.0138	126747.1579	15427.2632	146248.4211	11563.2632	47590.4211	33990.1579	15160.6057	8754.7895	8379	15158.6454	36009.4737	66972.8031	8903.9446	10863.0443	5022.2302	11436.8937	18292.8614	36045.8698	37817.6454	15627.1994
HOMOSER-METSYN-PWY	L-methionine biosynthesis I	0	0	0	0	0	0	0	0	0	0	0	10.7996	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HSERMETANA-PWY	L-methionine biosynthesis III	16427.619	51957.6	14793.48	63001.2	55663.2	15132.8179	26587.2	28326	19748.4	24187.2	12250.1231	63802.6592	104780.4	33745.2	29760	34821.48	15418.7449	33214.8	25332	73598.4	38223.9589	7813.2	38145.1851	77689.2	16660.8	32318.856	13225.08	22256.4983	22045.2	65016	41314.8	85214.4	31606.8	13680.7807	15344.4	23841.802	5371.2	167479.2	26893.08	137611.2	16749.6	158784	12554.4	51669.6	36903.6	16444.0521	9505.2	9097.2	16457.88	39096	72639.2455	9634.3542	11743.1716	5363.8436	12349.7302	19860.1198	39135.36	41059.08	16966.44
ILEUSYN-PWY	L-isoleucine biosynthesis I (from threonine)	16959.9579	53289.8462	15172.8757	64616.6154	57090.4615	15631.1676	27268.9231	29052.3077	20254.7692	24807.3846	12646.8711	65467.3755	107467.0769	34610.4615	30523.0769	35714.4142	15862.5127	34066.4615	25981.5385	75485.5385	39206.106	8013.5385	39156.8361	79681.2308	17088	33182.8309	13564.2604	23016.2385	22610.4615	66683.0769	42374.1538	87399.3846	32417.2308	14073.4133	15737.8462	24524.0692	5508.9231	171773.5385	27582.7219	141139.6923	17179.0769	162855.3846	12876.3077	52994.4615	37849.8462	16881.3054	9748.9231	9330.4615	16879.9527	40098.4615	74573.923	9913.4159	12094.1552	5589.9493	12732.4899	20370.0354	40138.9822	42111.9527	17401.7041
KDO-NAGLIPASYN-PWY	superpathway of (Kdo)2-lipid A biosynthesis	0	0	0	0	0	0	0	0	0	0	0	28.7879	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LEU-DEG2-PWY	L-leucine degradation I	14124.9795	48108.8889	13696.9136	58334.4444	51540	12935.2324	24617.7778	26227.7778	18285.5556	22395.5556	10535.1373	58832.7232	97018.8889	31245.5556	27555.5556	32241.358	13799.1323	30754.4444	23455.5556	68146.6667	35372.2178	7234.4444	34986.6008	71934.4444	15426.6667	29575.0114	12244.6913	18768.5027	20412.2222	60200	38254.4444	78902.2222	29265.5556	12254.6343	14207.7778	21375.8291	4973.3333	155073.3333	24900.2469	127417.7778	15508.8889	147022.2222	11624.4444	47842.2222	34170	15071.1384	8801.1111	8423.3333	15238.0247	36200	66543.1988	8604.9905	10382.8097	4121.5826	10786.7274	18382.2213	36234.9382	38016.9136	15707.4073
LPSSYN-PWY	superpathway of lipopolysaccharide biosynthesis	0	0	0	0	0	0	0	0	0	0	0	19.1957	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MET-SAM-PWY	superpathway of S-adenosyl-L-methionine biosynthesis	0	0	0	0	0	0	0	0	0	0	0	25.1919	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
METHGLYUT-PWY	superpathway of methylglyoxal degradation	0	0	0	0	0	0	0	0	0	0	0	8.9994	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NAD-BIOSYNTHESIS-II	NAD salvage pathway II	14308.8431	49483.4286	14088.0816	60001.1429	53012.5714	13089.0491	25321.1429	26977.1429	18808	23035.4286	10672.6762	60461.9358	99790.8571	32138.2857	28342.8571	33162.3673	14090.1663	31633.1429	24125.7143	70093.7143	36378.2033	7441.1429	35911.2131	73989.7143	15867.4286	30341.5152	12594.3673	18944.2076	20995.4286	61920	39347.4286	81156.5714	30101.7143	12515.401	14613.7143	21834.7996	5115.4286	159504	25611.5102	131058.2857	15952	151222.8571	11956.5714	49209.1429	35146.2857	15466.9124	9052.5714	8664	15673.2245	37234.2857	68283.6411	8782.8227	10575.5361	4096.7642	10960.3206	18905.8774	37269.8775	39102.9388	16155.6734
NAGLIPASYN-PWY	lipid IVA biosynthesis	13234.9096	43298	12327.6	52501	46386	12157.9853	22156	23605	16457	20156	9870.2341	53074.5247	87317	28121	24800	29017.6	12654.2497	27679	21110	61332	31845.1945	6511	31654.1214	64741	13884	26791.8732	11020.6	17766.7984	18371	54180	34429	71012	26339	11232.4422	12787	19583.1114	4476	139566	22410.6	114676	13958	132320	10462	43058	30753	13641.2584	7921	7581	13714.6	32580	60245.6163	7899.7157	9584.3177	4089.8251	10022.7568	16547.3988	32612.2	34215.6	14137.7998
NONMEVIPP-PWY	methylerythritol phosphate pathway I	13837	43298	12328	52501	46386	12757	22156	23605	16457	20156	10318	53204.6	87317	28121	24800	29018	12913	27679	21110	61332	31856	6511	31832	64741	13884	26979	11021	18798	18371	54180	34429	71012	26339	11456	12787	19962	4476	139566	22411	114676	13958	132320	10462	43058	30753	13724	7921	7581	13715	32580	60628	8071	9852	4588	10379	16551	32613	34216	14139
NONOXIPENT-PWY	pentose phosphate pathway (non-oxidative branch)	13837	43298	12328	52501	46386	12757	22156	23605	16457	20156	10318	53208.2	87317	28121	24800	29018	12913	27679	21110	61332	31856	6511	31832	64741	13884	26979	11021	18798	18371	54180	34429	71012	26339	11456	12787	19962	4476	139566	22411	114676	13958	132320	10462	43058	30753	13724	7921	7581	13715	32580	60628	8071	9852	4588	10379	16551	32613	34216	14139
OANTIGEN-PWY	O-antigen building blocks biosynthesis (E. coli)	5172.1656	0	4.9986	0	0	5018.7857	0	0	0	0	3849.7543	1586.1481	0	0	0	4.9994	2679.032	0	0	0	134.6006	0	2102.7344	0	0	2183.3663	4.9984	8174.422	0	0	0	0	0	2325.1828	0	3959.1026	0	0	4.9992	0	0	0	0	0	0	973.9179	0	0	4.9987	0	4488.7692	1755.4437	2609.9801	2866.7197	3280.4376	44.9145	9.9979	4.9995	14.9889
ORNARGDEG-PWY	superpathway of L-arginine and L-ornithine degradation	0	0	0	0	0	0	0	0	0	0	0	5.5999	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ORNDEG-PWY	superpathway of ornithine degradation	0	0	0	0	0	0	0	0	0	0	0	4.8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P101-PWY	ectoine biosynthesis	12953.0951	43298	12327.4	52501	46386	11879.0895	22156	23605	16457	20156	9660.6153	53008.9839	87317	28121	24800	29017.4	12528.7246	27679	21110	61332	31839.7945	6511	31565.9255	64741	13884	26699.2798	11020.4	17292.4914	18371	54180	34429	71012	26339	11123.9036	12787	19399.01	4476	139566	22410.4	114676	13958	132320	10462	43058	30753	13600.2607	7921	7581	13714.4	32580	60056.2276	7816.7712	9455.8582	3879.2182	9853.6511	16545.5988	32611.8	34215.4	14137.1998
P105-PWY	TCA cycle IV (2-oxoglutarate decarboxylase)	5360.5307	0	4.9988	0	0	5210.4141	0	0	0	0	3989.7206	1608.2324	0	0	0	4.9995	2734.2733	0	0	0	134.6575	0	2116.6173	0	0	2201.022	4.9986	8516.0631	0	0	0	0	0	2372.1017	0	4037.1908	0	0	4.9993	0	0	0	0	0	0	980.8251	0	0	4.9989	0	4521.9813	1793.3644	2678.3746	3023.048	3382.3913	44.9267	9.9982	4.9996	14.9905
P161-PWY	acetylene degradation	0	0	0	0	0	0	0	0	0	0	0	14.3993	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P221-PWY	octane oxidation	17940.151	61126.5882	17403.128	74119.0588	65486.1176	16428.9965	31279.0588	33324.7059	23233.4118	28455.5294	13380.6911	74748.585	123271.0588	39700.2353	35011.7647	40965.481	17528.5151	39076.2353	29802.3529	86586.3529	44943.2757	9192	44449.7519	91399.0588	19600.9412	37573.7247	15557.9515	23837.9709	25935.5294	76489.4118	48605.6471	100252.2353	37184.4706	15566.6745	18052.2353	27153.1792	6319.0588	197034.3529	31637.9515	161895.5294	19705.4118	186804.7059	14769.8824	60787.7647	43416	19147.4487	11182.5882	10702.5882	19361.2457	45995.2941	84540.8914	10930.4752	13188.1255	5237.7264	13700.6156	23356.1513	46039.6678	48303.8339	19957.6192
P23-PWY	reductive TCA cycle I	4569.7561	0	3.8176	0	0	4472.482	0	0	0	0	3400.3604	1233.9574	0	0	0	3.818	2210.1606	0	0	0	102.9402	0	1644.3531	0	0	1716.7424	3.8176	7421.0322	0	0	0	0	0	1914.8599	0	3254.5423	0	0	3.8179	0	0	0	0	0	0	762.9789	0	0	3.8177	0	3520.5182	1453.9414	2203.0821	2861.5215	2827.9252	34.3314	7.6356	3.818	11.4503
P4-PWY	"superpathway of L-lysine, L-threonine and L-methionine biosynthesis I"	0	0	0	0	0	0	0	0	0	0	0	56.93	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P42-PWY	incomplete reductive TCA cycle	3649.7589	0	2.7998	0	0	3592.3318	0	0	0	0	2715.2633	910.7629	0	0	0	2.7999	1691.7391	0	0	0	75.5488	0	1221.2175	0	0	1278.7669	2.7998	6035.5649	0	0	0	0	0	1464.1888	0	2485.9343	0	0	2.7999	0	0	0	0	0	0	567.1964	0	0	2.7998	0	2618.7467	1115.4925	1709.58	2496.9916	2223.2306	25.189	5.5997	2.7999	8.3986
P441-PWY	superpathway of N-acetylneuraminate degradation	0	0	0	0	0	0	0	0	0	0	0	11.6317	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P461-PWY	"hexitol fermentation to lactate, formate, ethanol and acetate"	0	0	0	0	0	0	0	0	0	0	0	7.1996	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PANTO-PWY	phosphopantothenate biosynthesis I	13837	43298	12328	52501	46386	12757	22156	23605	16457	20156	10318	53204.6	87317	28121	24800	29018	12913	27679	21110	61332	31856	6511	31832	64741	13884	26979	11021	18798	18371	54180	34429	71012	26339	11456	12787	19962	4476	139566	22411	114676	13958	132320	10462	43058	30753	13724	7921	7581	13715	32580	60628	8071	9852	4588	10379	16551	32613	34216	14139
PANTOSYN-PWY	pantothenate and coenzyme A biosynthesis I	13837	43298	12328	52501	46386	12757	22156	23605	16457	20156	10318	53204.6	87317	28121	24800	29018	12913	27679	21110	61332	31856	6511	31832	64741	13884	26979	11021	18798	18371	54180	34429	71012	26339	11456	12787	19962	4476	139566	22411	114676	13958	132320	10462	43058	30753	13724	7921	7581	13715	32580	60628	8071	9852	4588	10379	16551	32613	34216	14139
PENTOSE-P-PWY	pentose phosphate pathway	13092.486	43298	12327.5	52501	46386	12016.9194	22156	23605	16457	20156	9764.2998	53043.6706	87317	28121	24800	29017.5	12591.1743	27679	21110	61332	31842.4943	6511	31609.9619	64741	13884	26745.4964	11020.5	17526.4365	18371	54180	34429	71012	26339	11177.9094	12787	19490.626	4476	139566	22410.5	114676	13958	132320	10462	43058	30753	13620.7287	7921	7581	13714.5	32580	60150.7729	7858.0245	9519.6546	3981.7387	9937.4846	16546.4988	32612	34215.5	14137.4998
PEPTIDOGLYCANSYN-PWY	peptidoglycan biosynthesis I (meso-diaminopimelate containing)	13837	43298	12328	52501	46386	12757	22156	23605	16457	20156	10318	53204.96	87317	28121	24800	29018	12913	27679	21110	61332	31856	6511	31832	64741	13884	26979	11021	18798	18371	54180	34429	71012	26339	11456	12787	19962	4476	139566	22411	114676	13958	132320	10462	43058	30753	13724	7921	7581	13715	32580	60628	8071	9852	4588	10379	16551	32613	34216	14139
PHOSLIPSYN-PWY	superpathway of phospholipid biosynthesis I (bacteria)	15922.6083	49959.2308	14224.5858	60578.0769	53522.3077	14676.7794	25564.6154	27236.5385	18988.8462	23256.9231	11873.2838	61381.2775	100750.3846	32447.3077	28615.3846	33482.2781	14880.7532	31937.3077	24357.6923	70767.6923	36756.1241	7512.6923	36716.1276	74701.1538	16020	31115.8444	12716.5089	21616.6674	21197.3077	62515.3846	39725.7692	81936.9231	30391.1538	13202.1587	14754.2308	23005.436	5164.6154	161037.6923	25858.8166	132318.4615	16105.3846	152676.9231	12071.5385	49682.3077	35484.2308	15829.2915	9139.6154	8747.3077	15824.9704	37592.3077	69927.2316	9300.2168	11348.2788	5259.7077	11950.0646	19097.0414	37630.3254	39479.9704	16314.142
POLYAMINSYN3-PWY	superpathway of polyamine biosynthesis II	0	0	0	0	0	0	0	0	0	0	0	23.0334	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
POLYAMSYN-PWY	superpathway of polyamine biosynthesis I	0	0	0	0	0	0	0	0	0	0	0	17.2767	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
POLYISOPRENSYN-PWY	polyisoprenoid biosynthesis (E. coli)	13837	43298	12328	52501	46386	12757	22156	23605	16457	20156	10318	53204.6	87317	28121	24800	29018	12913	27679	21110	61332	31856	6511	31832	64741	13884	26979	11021	18798	18371	54180	34429	71012	26339	11456	12787	19962	4476	139566	22411	114676	13958	132320	10462	43058	30753	13724	7921	7581	13715	32580	60628	8071	9852	4588	10379	16551	32613	34216	14139
PPGPPMET-PWY	ppGpp biosynthesis	0	0	0	0	0	0	0	0	0	0	0	8.9994	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PRPP-PWY	"superpathway of histidine, purine, and pyrimidine biosynthesis"	0	0	0	0	0	0	0	0	0	0	0	30.5864	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-1269	CMP-3-deoxy-D-manno-octulosonate biosynthesis I	25534.9675	86596	24654.5	105002	92772	23394.6036	44312	47210	32914	40312	19045.0111	105921.1577	174634	56242	49600	58034.5	24880.0378	55358	42220	122664	63671.4971	13022	63001.7283	129482	27768	53262.4938	22040.5	33981.3082	36742	108360	68858	142024	52678	22094.1642	25574	38536.998	8952	279132	44820.5	229352	27916	264640	20924	86116	61506	27140.1129	15842	15162	27428.5	65160	119833.6291	15516.7257	18733.9843	7531.6164	19478.2965	33088.4994	65223	68430.5	28273.4999
PWY-2942	L-lysine biosynthesis III	15021.4324	47234.1818	13448.6777	57273.8182	50602.9091	13843.7159	24170.1818	25750.9091	17953.0909	21988.3636	11201.3542	58026.5187	95254.9091	30677.4545	27054.5455	31655.9504	14055.0646	30195.2727	23029.0909	66907.6364	34750.6606	7102.9091	34703.8118	70626.5455	15146.1818	29408.4972	12022.8595	20381.5744	20041.0909	59105.4545	37558.9091	77467.6364	28733.4545	12469.936	13949.4545	21730.0796	4882.9091	152253.8182	24448.314	125101.0909	15226.9091	144349.0909	11413.0909	46972.3636	33548.7273	14961.4016	8641.0909	8270.1818	14961.7686	35541.8182	66092.3419	8783.6563	10714.7773	4945.6795	11278.9275	18055.19	35577.719	37326.4959	15424.2149
PWY-3001	superpathway of L-isoleucine biosynthesis I	14937.197	46808.6486	13327.553	56757.8378	50147.027	13769.7612	23952.4324	25518.9189	17791.3514	21790.2703	11138.4398	57515.0539	94396.7568	30401.0811	26810.8108	31370.7962	13950.6031	29923.2432	22821.6216	66304.8649	34438.5243	7038.9189	34406.4866	69990.2703	15009.7297	29159.6655	11914.58	20285.0769	19860.5405	58572.973	37220.5405	76769.7297	28474.5946	12376.7448	13823.7838	21566.7765	4838.9189	150882.1622	24228.0935	123974.0541	15089.7297	143048.6486	11310.2703	46549.1892	33246.4865	14833.7399	8563.2432	8195.6757	14827.0124	35221.6216	65529.8429	8719.187	10641.1091	4942.349	11207.655	17892.8415	35257.2681	36990.2557	15285.3616
PWY-3781	aerobic respiration I (cytochrome c)	20279.467	62978.9091	17930.4793	76365.0909	67470.5455	19655.3627	32226.9091	34334.5455	23937.4545	29317.8182	15095.0461	77008.9209	127006.5455	40903.2727	36072.7273	42206.843	18049.396	40260.3636	30705.4545	89210.1818	46304.7555	9470.5455	45789.5447	94168.7273	20194.9091	38704.7898	16029.3884	31934.1973	26721.4545	78807.2727	50078.5455	103290.1818	38311.2727	16029.5002	18599.2727	27960.9251	6510.5455	203005.0909	32596.6611	166801.4545	20302.5455	192465.4545	15217.4545	62629.8182	44731.6364	19724.3409	11521.4545	11026.9091	19947.9339	47389.0909	87087.335	11254.9004	13577.1992	10599.2515	14101.8252	24063.7676	47434.7768	49767.5702	20562.347
PWY-5022	4-aminobutanoate degradation V	0	0	0	0	0	0	0	0	0	0	0	14.398	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-5097	L-lysine biosynthesis VI	14839.9631	46628.6154	13276.2663	56539.5385	49954.1538	13677.2716	23860.3077	25420.7692	17722.9231	21706.4615	11066.0122	57284.8458	94033.6923	30284.1538	26707.6923	31250.1124	13879.6986	29808.1538	22733.8462	66049.8462	34305.3428	7011.8462	34262.2316	69721.0769	14952	29034.9771	11868.7278	20139.2086	19784.1538	58347.6923	37077.3846	76474.4615	28365.0769	12314.2366	13770.6154	21458.5605	4820.3077	150301.8462	24134.8817	123497.2308	15031.6923	142498.4615	11266.7692	46370.1538	33118.6154	14771.1422	8530.3077	8164.1538	14769.9586	35086.1538	65252.1826	8674.239	10582.3858	4891.2056	11140.9287	17823.781	35121.6095	36847.9586	15226.4911
PWY-5100	pyruvate fermentation to acetate and lactate II	1850.8052	0	1.3333	0	0	1829.946	0	0	0	0	1376.707	436.3508	0	0	0	1.3333	830.4345	0	0	0	35.9949	0	586.636	0	0	615.5574	1.3333	3105.9671	0	0	0	0	0	718.1887	0	1218.4097	0	0	1.3333	0	0	0	0	0	0	272.6494	0	0	1.3333	0	1259.3624	548.5087	847.8002	1367.7547	1113.5435	11.9989	2.6666	1.3333	3.9999
PWY-5101	L-isoleucine biosynthesis II	18383.3909	57730.6667	16437.2889	70001.3333	61848	16943.8018	29541.3333	31473.3333	21942.6667	26874.6667	13708.291	70925.1865	116422.6667	37494.6667	33066.6667	38690.6222	17188.7741	36905.3333	28146.6667	81776	42473.4662	8681.3333	42422.9391	86321.3333	18512	35951.2561	14694.6222	24951.4796	24494.6667	72240	45905.3333	94682.6667	35118.6667	15249.9874	17049.3333	26574.1659	5968	186088	29881.2889	152901.3333	18610.6667	176426.6667	13949.3333	57410.6667	41004	18289.4916	10561.3333	10108	18286.6222	43440	80794.9354	10742.4354	13106.5245	6063.914	13799.5318	22067.5999	43483.9111	45621.2889	18851.8667
PWY-5103	L-isoleucine biosynthesis III	16227.4626	50938.8235	14503.4948	61765.8824	54571.7647	14957.1928	26065.8824	27770.5882	19361.1765	23712.9412	12100.6258	62582.529	102725.8824	33083.5294	29176.4706	34138.7889	15169.5256	32563.5294	24835.2941	72155.2941	37476.7124	7660	37434.0521	76165.8824	16334.1176	31723.8488	12965.8477	22027.6454	21612.9412	63741.1765	40504.7059	83543.5294	30987.0588	13458.4295	15043.5294	23452.1301	5265.8824	164195.2941	26365.8478	134912.9412	16421.1765	155670.5882	12308.2353	50656.4706	36180	16138.7387	9318.8235	8918.8235	16135.2595	38329.4118	71294.048	9480.5782	11567.6341	5356.0149	12180.1098	19471.4532	38368.1661	40254.083	16634.0138
PWY-5104	L-isoleucine biosynthesis IV	15405.5483	50938.8235	14502.9412	61765.8824	54571.7647	14140.3517	26065.8824	27770.5882	19361.1765	23712.9412	11489.3578	62402.6355	102725.8824	33083.5294	29176.4706	34138.2353	14813.6875	32563.5294	24835.2941	72155.2941	37461.7584	7660	37188.297	76165.8824	16334.1176	31465.4285	12965.2941	20624.8884	21612.9412	63741.1765	40504.7059	83543.5294	30987.0588	13150.9375	15043.5294	22930.9003	5265.8824	164195.2941	26365.2941	134912.9412	16421.1765	155670.5882	12308.2353	50656.4706	36180	16024.4401	9318.8235	8918.8235	16134.7059	38329.4118	70765.8731	9245.1134	11200.3434	4689.2149	11692.403	19466.4692	38367.0588	40253.5294	16632.3528
PWY-5121	superpathway of geranylgeranyl diphosphate biosynthesis II (via MEP)	13837	43298	12328	52501	46386	12757	22156	23605	16457	20156	10318	53203.9454	87317	28121	24800	29018	12913	27679	21110	61332	31856	6511	31832	64741	13884	26979	11021	18798	18371	54180	34429	71012	26339	11456	12787	19962	4476	139566	22411	114676	13958	132320	10462	43058	30753	13724	7921	7581	13715	32580	60628	8071	9852	4588	10379	16551	32613	34216	14139
PWY-5154	L-arginine biosynthesis III (via N-acetyl-L-citrulline)	16287.5283	51699.1045	14719.8485	62687.7612	55386.2687	14998.663	26454.9254	28185.0746	19650.1493	24066.8657	12145.795	63479.4211	104259.1045	33577.3134	29611.9403	34648.2067	15319.3032	33049.5522	25205.9701	73232.2388	38032.922	7774.3284	37940.7646	77302.6866	16577.9104	32142.5647	13159.2515	22041.2413	21935.5224	64692.5373	41109.2537	84790.4478	31449.5522	13593.1222	15268.0597	23690.054	5344.4776	166645.9701	26759.2515	136926.5672	16666.2687	157994.0299	12491.9403	51412.5373	36720	16355.4155	9457.9104	9051.9403	16375.9679	38901.4925	72246.2726	9571.2966	11660.4967	5275.9656	12255.0293	19761.0241	38940.5925	40854.7739	16881.9335
PWY-5188	tetrapyrrole biosynthesis I (from glutamate)	13837	43298	12328	52501	46386	12757	22156	23605	16457	20156	10318	53204.6	87317	28121	24800	29018	12913	27679	21110	61332	31856	6511	31832	64741	13884	26979	11021	18798	18371	54180	34429	71012	26339	11456	12787	19962	4476	139566	22411	114676	13958	132320	10462	43058	30753	13724	7921	7581	13715	32580	60628	8071	9852	4588	10379	16551	32613	34216	14139
PWY-5189	tetrapyrrole biosynthesis II (from glycine)	13837	43298	12328	52501	46386	12757	22156	23605	16457	20156	10318	53204.6	87317	28121	24800	29018	12913	27679	21110	61332	31856	6511	31832	64741	13884	26979	11021	18798	18371	54180	34429	71012	26339	11456	12787	19962	4476	139566	22411	114676	13958	132320	10462	43058	30753	13724	7921	7581	13715	32580	60628	8071	9852	4588	10379	16551	32613	34216	14139
