pathway	description	X16S_1_10_S10_L001	X16S_1_11_S11_L001	X16S_1_12_S12_L001	X16S_1_13_S13_L001	X16S_1_14_S14_L001	X16S_1_15_S15_L001	X16S_1_16_S16_L001	X16S_1_17_S17_L001	X16S_1_18_S18_L001	X16S_1_19_S19_L001	X16S_1_1_S1_L001	X16S_1_20_S20_L001	X16S_1_21_S21_L001	X16S_1_22_S22_L001	X16S_1_23_S23_L001	X16S_1_24_S24_L001	X16S_1_25_S25_L001	X16S_1_26_S26_L001	X16S_1_27_S27_L001	X16S_1_28_S28_L001	X16S_1_29_S29_L001	X16S_1_2_S2_L001	X16S_1_30_S30_L001	X16S_1_31_S31_L001	X16S_1_32_S32_L001	X16S_1_33_S33_L001	X16S_1_34_S34_L001	X16S_1_35_S35_L001	X16S_1_36_S36_L001	X16S_1_37_S37_L001	X16S_1_38_S38_L001	X16S_1_39_S39_L001	X16S_1_3_S3_L001	X16S_1_40_S40_L001	X16S_1_41_S41_L001	X16S_1_42_S42_L001	X16S_1_43_S43_L001	X16S_1_44_S44_L001	X16S_1_45_S45_L001	X16S_1_46_S46_L001	X16S_1_47_S47_L001	X16S_1_48_S48_L001	X16S_1_49_S49_L001	X16S_1_4_S4_L001	X16S_1_50_S50_L001	X16S_1_51_S51_L001	X16S_1_52_S52_L001	X16S_1_53_S53_L001	X16S_1_54_S54_L001	X16S_1_55_S55_L001	X16S_1_56_S56_L001	X16S_1_57_S57_L001	X16S_1_58_S58_L001	X16S_1_59_S59_L001	X16S_1_5_S5_L001	X16S_1_6_S6_L001	X16S_1_7_S7_L001	X16S_1_8_S8_L001	X16S_1_9_S9_L001
P101-PWY	ectoine biosynthesis	13645.8223	7720.8117	923.915	7339.0307	4556.6497	9287.5216	1108.4453	4127.9531	4152.9834	1898.6673	7957.893	27451.7505	13245.8764	4531.7427	8331.5347	9757.4519	4969.8483	2530.6843	2993.3038	37800.9763	7609.6354	5945.1999	4174.9881	7025.9644	4884.2548	28754.2307	1652.5554	18966.9287	11239.1911	31255.9378	17497.5449	22208.1861	1973.9149	25953.863	15360.9225	4980.756	9332.0689	14894.0195	9536.8051	23197.0918	18074.0207	49618.0626	19139.7491	4726.6872	30079.8082	14978.1715	2813.7392	4779.1526	15932.0951	50181.1022	29880.7114	16070.8034	9052.4266	11808.2281	10495.9303	3136.9313	14540.9881	3070.5588	4641.8811
P105-PWY	TCA cycle IV 2-oxoglutarate decarboxylase	151007.8524	110914.0991	23101.8781	88144.2844	66960.1618	166027.3802	23360.7954	58290.8774	36770.2066	22632.0004	67030.4656	217701.2993	147832.0261	57906.3699	68880.7412	94319.6979	73565.3876	40777.5849	26972.3071	231314.1108	49444.1094	15505.1107	88380.285	101738.0723	9497.2144	323433.2016	19718.4385	187648.0406	214575.3982	308518.6334	103641.2239	201124.715	33165.8768	106583.1345	71535.9782	102141.9096	33636.2152	199101.4166	50857.3098	236867.2258	152555.1826	241726.5956	35923.1948	68514.1383	170879.8776	122991.6423	30822.0991	50935.4812	33567.2019	359809.1934	291533.8152	87906.4854	71563.6067	58165.337	83287.3723	36266.7167	91559.0943	39838.8808	55259.9789
P108-PWY	pyruvate fermentation to propanoate I	164444.3782	158414.6085	27529.6822	147857.7851	97236.1986	194262.4741	49978.389	105940.2283	44237.1546	45669.7284	77504.9363	265363.8375	200393.8677	75771.2481	74275.753	126793.2595	96247.9605	67791.7504	34589.9685	200894.31	46978.6419	7436.8871	97991.4028	150909.9342	4287.711	328155.6459	16195.0568	198077.8886	139185.0646	380209.5935	88852.4654	234553.0945	66333.26	97170.3187	56927.5296	124655.6671	18003.4162	279545.0051	29037.3911	317988.8256	145625.1848	147194.9676	15474.8378	96754.1947	173758.9638	123247.3153	31561.658	49234.0459	15996.5632	269274.9587	375172.181	93794.5199	61847.4749	60656.5451	89090.3631	51233.0681	103018.2503	75558.083	74123.1602
P122-PWY	heterolactic fermentation	31609.6549	15767.1889	1630.493	24742.2504	10333.6191	35301.5747	5988.9457	13418.2744	4346.9275	4546.378	13315.7595	37891.3003	18365.8658	11543.6839	16499.6703	24481.3813	14458.864	9531.3513	9613.625	126331.0979	29509.4434	30651.9249	13697.5367	34125.838	30797.3025	84424.5061	9220.2614	38222.0483	56068.1302	70410.8748	69971.4798	58749.3997	3816.4489	27378.8395	70443.3993	14690.7363	45990.7893	39767.222	72671.9121	38175.0624	38165.9615	220078.9719	70469.9619	17656.8622	97891.6328	24183.8118	12258.3681	42995.2188	47382.1378	234681.0634	43695.331	19786.9301	10145.7514	18382.686	14370.0208	5026.5289	11671.1929	8551.6533	7138.8099
P124-PWY	Bifidobacterium shunt	59174.8194	50931.2363	12189.5732	30175.9664	15566.9184	74283.1575	7480.5327	15735.3639	8647.1358	7608.7351	28600.0193	90662.0775	24372.9225	13812.0336	19465.9929	29175.8445	29831.077	11505.6378	11484.7827	141739.6155	33841.5964	32846.6116	17364.0743	41315.876	32171.7718	108146.7135	10160.5812	64865.0167	62041.6751	83584.5281	79048.6419	68735.4278	5757.5474	46741.0252	80123.8152	27626.2863	50137.1177	46590.7931	79693.5264	45075.9954	50788.5273	248558.0452	75837.1666	20937.6934	109314.7492	40387.8321	14145.7632	48389.5644	52258.8441	259305.3406	178732.7997	39055.2554	26969.1066	29067.3536	23198.5181	7136.0813	14213.8481	11548.9851	8471.448
P125-PWY	superpathway of R R-butanediol biosynthesis	12644.0427	9524.2081	853.1174	3273.0985	1721.3338	5262.0526	398.2128	2970.7744	1315.3281	411.4079	7951.3328	15503.7757	1887.7296	1257.692	7426.2413	4473.0405	6875.525	907.0295	2158.7448	18171.1336	2242.3617	1786.317	4649.9429	4486.3571	1063.352	26712.9967	1819.7996	22668.5466	7046.3243	15315.0648	14743.9174	10345.6943	1180.6884	11513.7842	5849.2023	4206.4838	7046.7268	14565.4743	7493.4654	7005.1559	14052.7057	26065.3259	9314.1387	4562.8925	16454.401	7368.4745	1039.3844	3261.4489	3673.908	31963.6168	30647.102	8493.1206	8571.0151	4756.2767	1016.861	1757.4837	2433.6957	1388.0139	1619.028
P161-PWY	acetylene degradation	53084.6394	39124.919	3714.9726	48262.3333	26955.2082	49187.5494	9414.8853	43457.237	14755.0889	14657.7325	21019.9648	107032.2214	33745.229	25398.3494	27708.7926	56818.8942	28127.5018	16193.7372	17864.7304	226363.3023	52006.1481	43367.1128	33898.965	67621.2562	41452.4038	148400.9076	14836.091	75769.0262	72806.1715	170656.7276	132203.5164	134348.8069	13264.6522	40513.9791	103418.8861	40870.2566	65264.2558	142162.2743	102769.8824	104965.9228	63503.6836	325174.0597	104370.8928	52044.2217	145763.2167	37336.2665	20781.3082	73147.5649	71638.0407	337370.6156	147997.378	35712.314	18116.677	22078.2187	23967.3356	16876.8202	34293.7362	20842.6022	22067.7523
P162-PWY	L-glutamate degradation V via hydroxyglutarate	0	0	0	376.5234	293.1001	0	446.3959	130.405	0	0	0	438.8764	422.6183	0	4631.6541	67.7783	0	0	0	3611.7963	0	0	0	1433.7366	293.1986	0	0	0	0	2675.3427	4995.7558	0	141.044	0	547.6634	0	790.4671	0	4150.1065	1208.5332	0	0	0	404.3472	0	0	0	0	0	32225.2311	0	0	0	0	0	0	0	3.998	27.9311
P163-PWY	L-lysine fermentation to acetate and butanoate	9773.4431	3656.5835	666.3735	4899.0742	600.0633	14355.348	416.1641	700.0049	902.5906	399.3489	2694.6551	45069.8822	1600.7014	924.6472	1809.0637	1642.5399	8732.2121	672.9436	684.1866	5211.6238	21.3078	0	5019.9475	4405.4453	5.3238	43667.0506	5.3283	10266.0082	1498.7563	6607.5318	1400.9395	3204.8399	600.6134	6242.9711	368.4877	4604.4998	821.1506	3366.2594	323.8541	3757.6789	17762.2717	8708.5869	13.3264	2643.8095	16464.3037	12616.5035	2462.1571	1951.0279	5.3312	28350.7686	35175.7629	11754.5196	6176.6083	8967.9124	4840.0054	2418.4393	5082.3483	1594.3548	1404.5319
P164-PWY	purine nucleobases degradation I anaerobic	70629.2854	46005.1952	0	39254.2308	33516.4375	89947.683	12340.2207	30647.3654	18818.3597	11823.1801	34350.3101	121626.859	61262.2545	22861.2454	27909.8335	39637.5854	37825.509	21717.7782	0	96464.7778	0	0	47665.3041	45929.5159	244.5274	136178.5218	6573.2033	91237.3243	101604.8528	131479.2835	53697.1347	95499.0749	15531.8574	38368.0004	34373.4872	63242.0434	19650.1908	81462.0468	0	112611.7608	72953.2297	76461.262	1200.7223	26598.0074	76643.8075	63886.915	11861.5618	23853.2811	11479.5106	227737.0569	174508.1287	41403.1626	26067.7135	16354.947	44273.933	0	38295.4198	19486.0253	23984.132
P184-PWY	protocatechuate degradation I meta-cleavage pathway	1159.5798	507.7443	199.61	3.4731	0	1971.2396	0	293.8037	32.5432	70.8918	772.2039	1374.4659	0	0	27.7849	291.9223	471.7514	54.1852	346.6978	6102.9591	264.1702	0	1487.1865	0	303.7115	5435.9709	136.3551	4225.5008	1085.9162	247.3471	843.6015	404.513	0	567.9456	816.3524	1728.724	2735.744	606.9212	3111.9988	94.0762	2481.3634	9725.8697	642.965	0	2655.9874	1708.7386	100.1508	181.6873	603.5586	18065.9415	3142.57	1894.2474	1173.8171	498.1269	1029.3789	0	50.9983	2.3306	2.3319
P221-PWY	octane oxidation	10060.0303	5369.4581	362.2013	6596.9353	5027.9577	14622.8875	1069.2437	3867.0256	4033.4678	1976.2789	6808.1528	24447.8758	13944.972	4527.9923	7811.3089	10139.3249	8035.805	3047.4301	2682.0147	39220.8155	7607.9768	6287.0547	3790.6016	6245.7337	5974.0401	33868.607	2007.2932	11740.1153	12397.5758	33699.7166	13609.9937	22673.5541	1979.3251	17577.4648	14628.3425	5718.4307	9708.1852	10594.6192	11535.6213	24522.1355	13771.3088	56419.1111	15270.8762	3592.4069	27210.9881	13255.9833	2420.9253	3751.6297	17957.0349	42687.9826	37086.0977	11967.8949	7632.0096	19453.9391	9176.7866	3226.1782	14703.66	3203.4302	4819.229
P23-PWY	reductive TCA cycle I	159038.1423	152143.404	25915.8083	128665.1388	88005.1264	144541.5403	37098.6826	97189.4896	47872.9675	40132.0057	75701.2167	219311.9416	183937.9854	76099.6602	87465.686	122819.3161	77064.276	59218.8202	33125.4237	232293.4824	53615.9643	15455.0796	98401.1061	138464.8766	9716.9964	339568.412	22834.9554	203087.7436	204183.4494	373180.8848	102433.2372	227754.6198	58603.6294	104129.5395	75001.4014	110177.7177	32654.2456	266344.7867	48703.206	307448.5874	156340.3048	233342.1025	38958.5959	98211.646	183159.0846	111921.7236	33363.0435	55837.6759	33843.8484	384681.9548	321785.5506	92565.7484	54389.4874	51627.929	82443.5389	42671.7455	102022.5705	63898.2951	69337.5654
P241-PWY	coenzyme B biosynthesis	56.4183	10113.4707	2184.8681	18007.8896	2412.1902	144.944	1505.8617	6995.3232	3245.1011	9349.9721	42.5265	494.306	8425.2315	3390.8331	609.7257	8439.8832	45.6496	4470.9839	2481.6047	7124.9019	2992.7863	3.4646	327.9657	22586.4684	146.4395	3561.0085	412.7548	293.5968	1136.2244	5902.5168	1127.1122	1463.6769	6727.1258	66.9277	948.7748	79.6783	297.074	20781.9592	1328.4902	16879.403	338.5854	7840.9768	225.3549	16883.4092	2836.8619	197.6755	1405.307	1773.2555	916.7948	974.9585	572.8681	57.4244	11.8513	343.9592	42.2697	1151.8988	782.8158	7141.6976	2480.8027
P261-PWY	coenzyme M biosynthesis I	3747.8447	13003.4912	2488.9377	9306.526	5973.5465	989.4526	2629.9351	9120.8611	3141.0841	3010.5407	3102.4369	6989.8044	9126.5729	3858.4793	3193.8324	8422.7022	2132.6968	3886.2075	2592.5335	10201.9003	3248.6999	3.9964	1529.039	8922.9698	3.9947	7493.301	795.538	6527.0869	5518.6305	19577.6643	2861.6884	6582.0298	3131.0514	4067.1839	4110.6771	1512.6622	168.3825	23980.1076	2597.7739	19063.2859	3157.7973	10372.9456	0	10191.2137	7901.1286	2709.1684	1743.0015	2665.8337	1035.8936	2301.8003	16062.1865	3491.4568	2504.621	964.7374	492.9587	1815.3369	2674.2307	4211.333	3630.0807
P281-PWY	3-phenylpropanoate degradation	12412.6855	3712.4078	731.1115	2442.7889	2088.0198	14890.7317	399.014	1524.9404	1161.3315	452.8273	3621.0646	17538.1677	1537.0418	1318.8857	2337.2443	3688.63	4978.7876	625.0449	1139.1127	13208.3209	1638.2933	955.2181	6230.3193	2946.6979	982.8165	32617.3063	441.2957	18094.8307	5221.3681	14371.7408	7108.5274	7919.9292	957.3566	6645.7871	3718.9473	3748.255	5068.9441	10607.0946	5555.0955	5207.2543	14642.2621	29555.3446	8208.5409	3464.2125	9788.8218	7349.5318	1086.2954	2434.5881	3237.9301	41014.157	18136.8332	6691.9522	7930.8725	4639.8634	5204.0155	993.9399	3799.5154	900.084	1953.4319
P341-PWY	glycolysis V Pyrococcus	479.1868	0	0	1741.3781	187.3316	2334.1381	0	0	0	22.4958	797.7617	1246.3702	0	316.9329	0	44.9931	545.5576	0	0	0	0	0	520.9077	114.9657	0	14715.0754	2.4999	1317.3539	0	0	0	0	271.9839	292.0257	0	553.4746	0	0	0	189.9504	3061.8391	0	0	67.4804	509.3159	2093.5458	241.7103	0	746.0873	4664.706	913.6761	587.8469	241.9807	241.9501	498.3615	0	0	0	19.9975
P381-PWY	adenosylcobalamin biosynthesis II late cobalt incorporation	12776.8486	12132.7801	1250.5161	8794.2083	8565.2747	4237.6689	1261.3452	4337.1501	3326.5857	1626.6932	4917.8911	15435.7697	6763.2153	4814.1013	7778.1901	11569.2844	6054.0313	2199.9385	3670.8462	33706.0241	5588.1145	5314.5789	6454.9515	9565.0847	3887.2037	49837.4959	1594.3126	26235.2833	14913.4513	38064.2062	21101.3981	26653.8161	3340.9984	11360.7148	14668.5661	4574.8007	9868.2515	27768.9959	15612.468	22663.474	14954.8356	67504.1318	16983.757	11103.7115	23457.5082	5363.8431	3836.5356	7969.5064	11746.3823	88011.8915	2753.6179	6891.8332	3806.179	5183.6108	1578.8267	3330.7668	9758.9532	3390.3587	8007.1593
P4-PWY	superpathway of L-lysine  L-threonine and L-methionine biosynthesis I	125218.226	96289.6919	17415.6954	83659.6798	59576.7318	149369.1238	22518.5549	64696.5568	31435.9612	22838.0303	61159.3154	191612.6648	104554.6606	48635.7714	59050.9857	81962.1676	67613.1024	39553.9919	24600.841	234018.5048	55385.6748	33567.9555	76950.6654	110322.9857	31984.0494	262291.8638	22830.0394	158722.0047	144445.8706	258359.2265	114747.6304	192205.7162	38068.4287	81786.6723	93226.8214	92780.9835	54617.668	164387.1901	83246.1124	214279.3284	126900.75	303472.3449	79428.2292	66466.0161	176371.0395	98754.9322	29223.652	64893.5044	57379.9386	342402.2488	294408.4099	76281.6969	57862.1167	51498.8636	69699.4819	33384.6514	67348.8061	40174.6761	46492.0942
P42-PWY	incomplete reductive TCA cycle	153100.7615	295905.8262	62700.8466	274273.3216	163877.4851	109313.6589	90803.2528	172293.3208	76769.2809	92868.997	77601.0548	184488.792	331698.1817	139824.8857	139371.2723	229362.8813	64818.0938	125597.0276	63527.258	326164.1804	93343.4971	22162.5059	92010.9599	292124.8247	14363.8105	332532.4734	40613.3338	200314.0904	238935.3035	646403.44	151636.0128	378883.3874	109466.4218	111835.4806	113647.5239	94084.1128	46844.6327	498438.7841	79436.3683	543631.4765	138362.1776	335904.101	60192.4315	172968.0884	243563.3605	93681.9688	54243.2744	92471.9685	48354.157	377194.0517	258270.8286	79782.9269	41517.9591	46870.3973	75125.4496	77501.0228	159766.04	128269.8691	121454.3303
P441-PWY	superpathway of N-acetylneuraminate degradation	15676.5366	13928.8051	1293.9729	16464.0294	9548.224	29905.4788	2518.6157	7723.6138	3716.9319	2484.6831	11277.0127	21887.3795	8771.9194	8291.6529	20078.386	20261.7032	7637.899	6054.2976	5512.8634	55795.6187	9683.604	6996.4821	10083.9923	22949.5909	3418.3806	63935.0275	2645.9851	32461.2471	29043.4571	59549.3664	39318.9639	53111.5852	4076.2683	12280.9965	28482.0178	10669.2922	15029.0228	50023.9572	22966.3948	35059.0834	24641.3476	88281.7587	25783.0036	18611.4841	47278.942	15152.5224	5477.1339	13993.5711	12235.1693	110769.5697	31028.2368	11871.9074	5306.3762	8737.517	5972.2906	5078.6318	10123.4401	6407.3194	8313.8163
P461-PWY	hexitol fermentation to lactate  formate  ethanol and acetate	4819.846	1642.3606	81.9328	5036.4773	1690.8297	7000.5395	527.1426	1792.7083	229.5834	609.5405	1985.2588	4929.1837	2231.0402	2925.3402	6573.0771	7528.5886	1642.1012	2020.4507	4521.2392	92574.6031	22496.9041	27350.2532	5180.7477	15055.7358	28781.5439	23873.1141	6085.6358	10752.9215	29397.9883	19732.3595	54290.3052	33135.4178	608.9667	5019.1133	51660.8247	1722.7152	38871.0307	14700.7927	60305.4875	8202.8323	17065.5401	180258.4468	61831.0707	7128.3084	49469.3084	3280.8119	6079.9996	33821.0478	39086.9546	133644.3364	5224.6066	2195.1743	4691.1236	4210.1742	919.6961	432.5308	2754.01	1078.4691	630.0491
P562-PWY	myo-inositol degradation I	25397.4796	10766.2141	2594.5726	2442.7263	2422.5028	23595.8816	309.278	1561.9043	1295.0589	447.4725	11159.2351	34497.7345	5206.908	1648.0733	2743.8652	2918.5327	10040.1021	1714.9835	1262.4072	11185.3043	1862.4451	951.4292	9322.0193	3370.0796	814.8493	42674.4612	186.371	30388.7	8152.856	6729.6291	6084.6602	12696.8573	839.2336	16063.2005	5754.2666	6972.1115	1445.216	8429.1646	1394.0811	12411.7872	21708.7218	9209.262	1793.7329	2871.423	20406.0188	13287.9408	1375.4695	2526.7133	2893.757	44099.3441	59480.2117	15868.9295	15298.2522	8767.3931	8346.5798	1251.9083	4085.7207	1357.9305	2496.1285
P621-PWY	nylon-6 oligomer degradation	1400.9093	5.9128	1.8571	89.5531	0	261.4598	0	62.2772	56.3232	1.9718	231.6589	288.3064	289.0111	0	0	0	384.7158	0	0	0	150.5385	0	392.344	240.9172	1.9984	1261.88	0	1933.2249	0	604.3621	799.1468	1.9996	0	1859.4118	330.4926	78.0861	0	0	0	0	879.8853	0	0	0	744.9388	669.7198	56.0247	0	0	1104.9511	5481.405	1302.5073	913.8774	301.6326	349.1911	0	1146.9389	34.3069	192.0489
PANTO-PWY	phosphopantothenate biosynthesis I	139757.9889	163400.0719	28050.4704	129109.5877	94112.737	168108.6896	53877.3741	96560.0773	44175.0961	46980.1011	64551.0574	205085.0947	196345.8685	82740.154	83390.0447	122752.9847	75838.9875	70636.3289	37043.8002	251655.3793	66106.3904	18655.1119	83063.4958	168538.813	12624.0788	280002.1668	21190.7638	164502.4421	180110.983	401642.3808	120663.6762	240709.183	61957.9618	90580.033	89848.0827	95528.1964	32968.8133	285205.2014	53295.8739	335716.0406	126634.6279	239695.8189	40780.955	98338.2598	188044.3609	101992.2084	35943.3588	68207.5758	37778.393	377795.2627	312283.0346	78027.196	56870.277	54381.4573	75630.7042	45219.3174	96519.057	64428.069	71820.7784
PANTOSYN-PWY	pantothenate and coenzyme A biosynthesis I	133392.221	170740.637	30585.1422	144648.2094	98532.4502	150593.282	56672.6114	103987.6007	46543.2271	52013.4744	63619.6107	188285.5151	201794.8696	85983.7888	86719.2538	132090.1469	69130.0908	75191.1093	39301.3727	257617.0772	68337.6128	20435.419	81570.3509	181092.6178	14893.4423	264561.5426	25129.6533	164787.1246	174611.9344	411695.3074	123013.4171	249832.6049	66077.755	87898.0972	91387.7946	99160.919	35954.6736	301328.7995	56962.6129	343890.9219	129552.8741	242947.3743	45233.0434	105903.2389	192507.0804	100918.4393	36990.0548	69694.1734	40142.9843	373159.4369	310019.0746	77487.5101	54138.0018	49725.5818	72832.9087	46648.0777	97941.5614	70893.0155	74682.2264
PENTOSE-P-PWY	pentose phosphate pathway	145022.9236	116903.3136	16142.4078	109500.1224	81209.573	177554.7736	38810.438	87190.7419	41302.9744	38848.6057	72002.8052	217796.5831	162577.3785	68314.9253	71701.8777	110652.1849	81081.6497	57768.6125	34222.7083	267505.0261	66601.3098	39315.5646	89061.9561	146796.3012	37577.7092	303625.6829	22465.8245	177014.5444	151232.5653	353300.3161	135176.2579	239265.909	45153.3881	87662.3515	109591.3264	99939.9606	62160.6626	258311.5504	96037.8149	296907.75	139902.3565	324022.6864	89084.3921	87657.6691	206284.264	104744.8663	35260.7219	79296.695	64267.077	390891.1293	346248.0697	86903.6167	58935.0509	55931.8955	76371.4519	37931.3984	79538.1918	53920.0461	58926.2535
PEPTIDOGLYCANSYN-PWY	peptidoglycan biosynthesis I meso-diaminopimelate containing	151630.8585	175139.2134	29359.9395	139447.2789	102717.5658	181884.0622	57383.723	104646.5852	49644.2897	50765.1584	73656.7595	223988.7918	215205.7874	88738.3755	93068.2384	133776.2669	82687.0036	76741.8946	41065.6689	278019.9655	72935.6691	32211.768	93646.0949	185001.6793	29711.6287	307346.5999	36621.1292	185925.1878	201339.2318	445247.299	141128.6647	283604.3544	66341.7013	97048.5789	107363.7777	113981.2755	54719.06	310969.6447	81636.909	368574.6777	142801.9211	293770.2514	73374.2402	106279.1248	206986.2405	113630.1335	40536.4531	78893.6727	55715.27	407451.8026	342056.3493	85270.0564	60378.899	56414.078	83491.2934	50487.225	106874.3359	69738.977	77212.8261
PHOSLIPSYN-PWY	superpathway of phospholipid biosynthesis I bacteria	183756.63	204887.3652	34659.9002	162429.0391	122503.3625	213879.8319	63980.7333	119725.9673	59467.5338	57557.2119	92208.0991	268211.3324	247997.8427	101601.8675	109372.3837	156210.995	98446.9459	87063.8454	46518.075	319093.3056	81629.2912	35628.163	115909.8882	212326.0968	32766.7786	379879.0131	41635.446	232952.203	241051.5554	523203.5941	158595.184	333483.944	78741.0958	121282.5953	122270.9549	142511.6105	62201.6105	357017.3128	92196.0852	427038.1831	177606.2538	342954.2779	82299.7416	125047.5006	248114.7238	140669.6027	46913.3191	89743.459	62895.001	464152.1523	421163.1463	106341.7099	72803.8956	68498.3694	101898.1415	60177.3175	127025.9381	80969.6222	92381.1787
POLYAMINSYN3-PWY	superpathway of polyamine biosynthesis II	38997.9122	31874.0972	7442.8203	17719.8906	24539.7965	41894.6908	7767.6862	9605.7292	10507.0093	3316.0954	18923.1077	47500.6467	50394.5497	13546.4383	17655.9867	19997.8891	16478.4483	13294.5408	5899.1212	70329.4791	9704.8887	5012.4575	23330.0796	23702.9768	5766.2679	85874.4738	4287.8693	57000.2675	46375.9694	83233.9528	21838.3771	64752.8783	12965.8036	30530.4447	14678.8921	27907.1869	11004.9396	46322.5599	14278.212	67089.9518	41509.8209	67191.4271	5589.7103	20164.3748	59832.1181	35399.8501	9198.4865	12829.9385	6163.6799	118709.6355	83852.4838	24016.999	16419.5813	12740.6058	23223.2302	8196.2764	27681.0035	8754.8818	17348.5367
POLYAMSYN-PWY	superpathway of polyamine biosynthesis I	39869.2624	34440.8308	8408.5218	18338.1979	26263.3982	42899.5245	8750.0431	9534.8806	12048.735	3388.1462	20324.6158	48422.5686	58728.7008	14320.9008	18940.6709	20815.5556	16777.863	14648.441	6038.3378	67356.8574	9281.995	4283.723	22984.0089	24160.1518	3940.0746	88963.1507	4077.5195	60507.8316	42115.9807	85952.9672	20503.7309	64953.2977	13793.9566	34981.1094	13613.9073	27593.94	9601.8337	49531.5717	16884.5768	73402.8232	41798.7677	61972.0591	14031.7697	20903.6701	59580.1093	36066.97	9256.1946	12084.3635	7172.7433	115262.3482	85643.4454	24679.2597	16601.7032	13482.1899	23721.4559	8409.8195	28642.3535	9044.3001	18287.6007
POLYISOPRENSYN-PWY	polyisoprenoid biosynthesis E. coli	142446.5807	188557.3204	37461.155	162806.9496	108800.2041	158337.8344	59050.8369	106850.397	51384.3095	56089.1974	70467.297	205609.764	225418.4016	91368.6394	93970.9052	143284.5174	72950.3966	81994.3173	41980.5175	268568.6539	70736.773	31477.0591	87510.5285	192265.9956	30460.4575	284133.335	35951.4714	175647.3408	193965.9897	436495.777	127157.4416	274362.4379	71169.9456	95197.5763	92350.3503	106171.9347	51644.4267	314616.7721	80069.8967	371019.5329	133678.7755	282287.1896	73823.1766	109814.1233	192489.4787	105684.2021	38680.9301	73479.5504	55455.259	338931.5741	312058.7901	82961.5679	57883.8136	50593.5403	79826.0385	51863.182	112360.4286	79514.9944	81585.3384
PPGPPMET-PWY	ppGpp biosynthesis	39150.7862	16270.8213	2425.0009	17196.8131	19530.8007	27916.0167	3367.4637	7444.4327	8560.5032	3080.3017	18499.9865	28982.2426	49288.2152	10484.4467	22461.753	19200.3977	10175.0654	9007.4146	4308.6151	44600.8876	6387.8499	1298.2472	15081.9919	16958.3998	871.9693	46778.437	4474.2134	44056.6665	26153.3152	73574.6828	22731.0111	65369.1034	9547.0025	35670.9715	14492.9623	15714.8477	5310.0698	26801.6171	5369.9016	71454.3862	29625.1262	24040.1836	9150.7678	11007.6539	46222.2678	27298.5102	4871.0137	5754.3455	3820.7308	85460.2473	84871.5501	27621.9144	17754.1934	19369.0251	22165.7265	7402.8083	27362.4606	9220.424	17339.2118
PROTOCATECHUATE-ORTHO-CLEAVAGE-PWY	protocatechuate degradation II ortho-cleavage pathway	61609.868	12444.3074	1505.8428	10349.2278	6296.17	71520.4514	2070.4319	7881.4769	3928.1045	1948.5119	23740.8955	91028.2683	11423.5968	5018.5207	5405.0313	10294.8833	31699.1471	5013.7817	3594.0413	44195.7298	7712.41	3111.1323	25740.3916	15697.6967	3767.8192	122229.504	1705.6868	60682.8513	87960.1089	25583.3872	23169.6874	31903.6722	4272.418	38670.0465	15364.8455	27017.3094	8298.8958	20278.543	8658.9057	34028.3467	55606.8395	65058.9733	11496.0125	10890.9701	61508.1192	41252.7171	6125.8995	7222.9335	9144.6152	139500.1557	132814.7828	37771.6601	34299.7355	30628.8415	29113.3083	6124.1893	10103.2103	4624.029	7764.4852
PRPP-PWY	superpathway of histidine  purine  and pyrimidine biosynthesis	52544.4083	119477.7258	21267.7749	117440.79	73906.5404	45503.2041	36183.6952	79139.7674	33327.1988	35923.4392	28090.1501	55582.5878	134501.8663	60843.6822	66568.4054	109376.2978	21717.9845	54644.1004	31062.9144	249177.2699	58969.6119	29479.3639	22427.3092	133718.6125	26803.2552	172826.1005	28225.0254	47233.734	155513.6806	305477.5438	120101.9581	209579.2219	46166.5308	40391.2288	92935.669	20932.3957	49939.6573	227455.507	73149.5136	249958.4921	77380.3194	291710.8206	69584.9547	83122.8673	182934.8148	37572.023	30945.0323	64702.4851	54449.6338	363241.6546	80118.3858	29925.7279	17078.3085	20763.7795	18274.5091	34248.7768	73861.4999	56499.2385	54820.697
PWY-1269	CMP-3-deoxy-D-manno-octulosonate biosynthesis I	77048.0079	96667.967	11617.001	90277.9512	73176.3754	69085.8972	37103.8823	66414.2403	37418.4805	33965.9009	47262.7283	89125.0245	151010.8085	60667.147	66249.819	85663.0831	30173.6724	52063.6238	26297.9558	148374.9658	42540.8182	6881.6447	53206.5938	120380.6513	4686.1268	144289.1105	13693.6414	117047.7027	145240.5974	301117.865	70875.9754	182282.3907	43826.9715	59237.9813	48141.8601	66833.8753	17341.8459	192345.3074	21022.6282	244445.2324	79661.634	116728.6579	16804.654	62853.0992	110122.1517	62184.2533	24580.7224	41365.8402	19872.671	153304.0336	168559.7838	52012.8497	35909.7006	24797.9478	48730.3562	32386.6835	73748.0315	44504.645	53544.6077
PWY-1361	benzoyl-CoA degradation I aerobic	1544.3219	67.2419	0	17.0496	16.1312	106.088	0	0	0.8996	27.9516	0	37.4253	45.5766	40.7266	0	103.7432	0	0	0	0	0	88.0124	119.4949	36.5392	0	173.1466	18.3688	70.6081	0	62.8053	0	0	0	0	0	153.7484	0	67.0113	0	116.0512	144.966	0	0	0.8997	0	57.0382	0	0	0	3.5971	44.9056	0	22.3262	0	38.9936	0	0	0	11.6579
